categories_id;parent_id;categories_level;categories_name
2137;2134;2;Gildan
2138;2134;2;Karl Kani
2139;2134;2;MCXXX
2140;2134;2;CSR (Cayler)
2141;0;1;Def
2142;0;1;DNGRS
2143;0;1;Ecko Unltd.
2144;0;1;Just Rhyse
2145;0;1;Thug Life
2146;0;1;Days Beyond
2147;2107;2;Flexfit
2149;2148;3;Woman
2150;2148;3;Men
2151;2148;3;Accessoires
2152;0;1;Kids
2153;0;1;Rocawear
2154;238;4;Shirts
2156;2107;2;Mister Tee
2157;2156;3;Accessoires
2158;2147;3;Caps
2159;237;2;Summer-Season
2160;237;2;Winter-Season
2161;2141;2;Men
2162;2141;2;Ladies
2163;2161;3;Hoodies
2164;2161;3;T-shirts
2165;2161;3;Sweatpants
2166;2161;3;Pants
2167;2161;3;Tank Tops
2168;2162;3;T-Shirts
2169;2161;3;Shorts
2170;2161;3;Jackets
2171;2162;3;Pants
2172;2141;2;Accessoires
2173;2161;3;Vests
2174;2162;3;Crewnecks & Longsleeves
2175;2162;3;Dresses
2176;2162;3;Sweatpants
2177;2162;3;Leggings
2178;2162;3;Hoodies
2179;2142;2;Ladies
2180;2142;2;Men
2181;2179;3;Hoodies
2182;2179;3;Dresses
2183;2180;3;Sweat Suits
2184;2180;3;Jackets
2185;2180;3;Sweatpants
2186;2179;3;Sweatpants
2187;2180;3;Zip Hoodies
2188;2142;2;Accessoires
2189;2179;3;T-shirts
2190;2180;3;Shorts
2191;2180;3;Hoodies
2192;2144;2;Men
2193;2192;3;Pants
2194;2192;3;Sweatshirts
2195;2144;2;Ladies
2196;2195;3;Sweatpants
2197;2195;3;Leggings
2198;2192;3;Hoodies
2199;2192;3;Shorts
2200;2192;3;Sweatpants
2201;2195;3;T-shirts
2202;2195;3;Dresses & Cardigans
2206;2003;2;Build your Brand
2207;2206;3;Ladies
2208;2206;3;Men
2209;2003;2;Build your Brand Basic
2210;2209;3;Men
2211;2209;3;Ladies
2212;2206;3;Accessoires
2213;2161;3;Tracksuits
2214;2145;2;Ladies
2215;2145;2;Men
2216;2145;2;Accessoires
2217;2299;2;T-Shirts
2218;2299;2;Hoodies
2219;2146;2;Hoodies
2220;2146;2;T-Shirts
2221;2101;2;Hipbags
2222;2101;2;Backpacks
2223;2143;2;Shorts
2224;2143;2;Sweatpants
2225;2143;2;T-shirts
2226;2143;2;Sweatshirts
2227;2143;2;Crewnecks
2228;2143;2;Pants
2229;2143;2;Hoodies
2230;2143;2;Sweatsuits
2231;2214;3;Sweatpants
